area,height,width,quality
0.019147135416666666,0.2520833333333333,0.1265625,0
0.046888020833333335,0.38958333333333334,0.2359375,0
0.05580403645833333,0.5020833333333333,0.24375,1
0.02416015625,0.20416666666666666,0.2359375,0
0.02007486979166667,0.3458333333333333,0.1140625,0
0.040973307291666664,0.3125,0.23125,0
0.028671875,0.3729166666666667,0.1515625,0
0.03544921875,0.29791666666666666,0.2203125,0
0.028430989583333333,0.19583333333333333,0.2625,0
0.03460611979166667,0.49375,0.225,0
0.04405924479166667,0.3541666666666667,0.2390625,0
0.031276041666666664,0.3020833333333333,0.234375,0
0.028444010416666665,0.325,0.1890625,0
0.07604166666666666,0.625,0.2421875,1
0.0217578125,0.27708333333333335,0.1265625,0
0.04669270833333333,0.4,0.240625,0
0.04807291666666667,0.4708333333333333,0.20625,0
0.04323567708333333,0.375,0.325,0
0.041396484375,0.33541666666666664,0.2453125,0
0.035930989583333336,0.36666666666666664,0.2046875,0
0.04841145833333333,0.32916666666666666,0.321875,0
0.075595703125,0.4791666666666667,0.3453125,1
0.05074544270833333,0.4354166666666667,0.215625,0
0.06458658854166667,0.4666666666666667,0.2984375,1
0.06299153645833333,0.6333333333333333,0.2609375,1
0.05146484375,0.4166666666666667,0.3296875,1
0.056748046875,0.6125,0.23125,0
0.032552083333333336,0.2520833333333333,0.2359375,0
0.04826497395833333,0.35625,0.296875,0
0.038525390625,0.35833333333333334,0.2203125,0
0.03177083333333333,0.38125,0.1796875,0
0.04010416666666667,0.3020833333333333,0.30625,0
0.044228515625,0.32708333333333334,0.21875,0
0.037337239583333334,0.275,0.35,0
0.06013346354166667,0.3645833333333333,0.38125,1
0.06990559895833333,0.4625,0.375,1
0.06214192708333333,0.5333333333333333,0.3078125,1
0.05489583333333333,0.2916666666666667,0.346875,1
0.054287109375,0.39791666666666664,0.31875,0
0.054241536458333336,0.41041666666666665,0.309375,0
0.0451953125,0.3625,0.4328125,0
0.04083984375,0.2604166666666667,0.3203125,0
0.047470703125,0.51875,0.221875,0
0.03637044270833333,0.29791666666666666,0.284375,0
0.039957682291666664,0.38958333333333334,0.29375,0
0.039850260416666665,0.46875,0.146875,1
0.03912760416666667,0.32916666666666666,0.2515625,0
0.061015625,0.50625,0.2453125,1
0.03790690104166667,0.3333333333333333,0.2234375,0
0.07061848958333333,0.54375,0.2390625,1
0.03193359375,0.40625,0.134375,0
0.042884114583333334,0.42916666666666664,0.2640625,0
0.036533203125,0.2520833333333333,0.234375,0
0.04320638020833333,0.44166666666666665,0.2078125,0
0.051666666666666666,0.39166666666666666,0.3859375,1
0.05242838541666667,0.4979166666666667,0.24375,0
0.06162434895833333,0.36875,0.35,1
0.04704427083333333,0.44583333333333336,0.24375,1
0.067216796875,0.39375,0.403125,1
0.079453125,0.48541666666666666,0.43125,1
0.052939453125,0.3229166666666667,0.3609375,0
0.02849609375,0.28958333333333336,0.215625,0
0.03261067708333333,0.3145833333333333,0.190625,0
0.0198828125,0.20208333333333334,0.175,0
0.03123046875,0.2708333333333333,0.209375,0
0.030579427083333333,0.23125,0.290625,0
0.030270182291666666,0.20416666666666666,0.278125,0
