col1,col2,col3,col4,col5,col6
row1,10,27.35,54.41,30.26,-1,56.49
row2,49.92,40.01,53.3,52.85,54.36,61.98
row3,40.17,33.12,51.68,49.76,45.07,-1
row4,33.41,-1,-1,52.13,56.79,-1
row5,62.48,44.19,51.24,52.16,-1,58.39
row6,50.23,-1,-1,69.04,-1,57.81
row7,57.34,42.44,-1,50.23,61.23,-1
row8,53.71,36.91,59.24,47.59,44.03,-1
row9,38.6,39.64,-1,61.12,-1,-1
row10,55.26,57.93,46.18,47.76,47.61,34.52
row11,59.18,51.18,42.05,-1,55.87,29.64
row12,36.24,-1,50.45,54.95,28.43,31.21
